movieId,avg_rating,rating_count
1,3.8937,57309
2,3.2515,24228
3,3.142,11804
4,2.8535,2523
5,3.0584,11714
6,3.8549,24588
7,3.3637,12132
8,3.1146,1344
9,2.9921,3711
10,3.4215,28265
11,3.6572,17042
12,2.6246,3741
13,3.3335,1715
14,3.4235,5509
15,2.719,2760
16,3.8237,18404
17,3.9488,19729
18,3.3844,5374
19,2.6422,21552
20,2.8699,3840
21,3.5702,22277
22,3.32,9237
23,3.1457,4108
24,3.1876,7450
25,3.6773,20070
26,3.6067,2549
27,3.4039,1577
28,4.03,2950
29,3.9367,8305
30,3.6368,1166
31,3.2448,9106
32,3.9058,47054
33,3.0231,65
34,3.6032,31456
35,3.4793,1352
36,3.9187,19388
37,2.9933,75
38,2.8708,631
39,3.4187,26230
40,3.6267,797
41,3.8434,4266
42,3.0496,2300
43,3.45,2308
44,2.6546,10629
45,3.3829,8267
46,3.2634,2889
47,4.0792,50596
48,2.9778,13461
49,3.5197,228
50,4.2844,55366
52,3.5329,8543
53,3.6496,137
54,2.8411,919
55,3.2203,851
56,1.9154,65
57,3.3204,2236
58,3.9679,10483
59,3.5635,181
60,3.0959,5960
61,3.3161,2088
62,3.7154,18242
63,3.0839,2336
64,2.814,1884
65,2.3703,4663
66,2.1377,2215
67,3.2975,163
68,3.4302,1124
69,3.5583,4278
70,3.3266,14118
71,2.3457,1202
72,3.4869,1179
73,3.796,2699
74,3.2881,3235
75,2.4297,526
76,3.01,3235
77,3.4028,211
78,3.1528,1129
79,3.1199,5061
80,3.7495,515
81,3.2527,3007
82,3.9924,2288
83,3.6443,537
84,3.3582,141
85,3.5268,2441
86,3.4767,3921
87,2.3497,938
88,3.1072,4730
89,3.1294,3095
90,3.3333,201
92,2.85,2114
93,2.492,1936
94,3.5279,3760
95,3.0772,20642
96,3.7005,444
97,3.9862,2615
98,2.5964,83
99,3.101,668
100,3.2212,3770
101,3.7674,4438
102,2.4106,1841
103,3.2553,1046
104,3.3944,19190
105,3.3332,9006
106,3.436,125
107,3.2169,6015
108,3.0739,115
110,4.0023,59184
111,4.0835,29133
112,3.4062,10958
113,3.101,990
114,3.5891,230
116,3.9114,875
117,3.5744,1142
118,2.9854,1030
119,2.7337,246
120,2.8415,142
121,3.7487,764
122,2.8594,3588
123,3.9914,2607
124,3.4966,298
125,3.7442,3231
126,2.3187,1329
128,3.4859,71
129,3.1395,172
131,3.3107,169
132,2.7779,1925
135,3.0019,5932
136,3.6278,90
137,3.2549,206
138,3.2276,123
140,3.2873,4553
141,3.5102,20757
144,3.465,4097
145,3.2755,12796
146,2.9029,551
147,3.5834,4222
